1.0061 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2290.1244 	EXP 	eyetracker.setRecordingState(True)
2290.1352 	EXP 	sample: autoDraw = False
2290.1352 	EXP 	Delay: autoDraw = False
2290.1352 	EXP 	Response_1: autoDraw = False
2290.1352 	EXP 	Response_2: autoDraw = False
2290.1352 	EXP 	Response_3: autoDraw = False
2290.1352 	EXP 	polygon: autoDraw = False
2290.1352 	EXP 	sample: image = 'images/picture_1.png'
2290.1352 	EXP 	sample: autoDraw = True
2290.1352 	EXP 	Delay: autoDraw = True
2290.3923 	DATA 	Keypress: t
2291.1428 	EXP 	sample: autoDraw = False
2291.4568 	EXP 	Response_1: autoDraw = True
2291.4568 	EXP 	Response_2: autoDraw = True
2291.4568 	EXP 	Response_3: autoDraw = True
2291.7234 	EXP 	Delay: autoDraw = False
2291.8921 	DATA 	Keypress: t
2292.6235 	EXP 	Response_1: autoDraw = False
2292.6235 	EXP 	Response_2: autoDraw = False
2292.6235 	EXP 	Response_3: autoDraw = False
2292.6235 	EXP 	polygon: autoDraw = True
2293.3922 	DATA 	Keypress: t
2293.6232 	EXP 	polygon: autoDraw = False
2294.6269 	EXP 	eyetracker.setRecordingState(False)
